Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/247;;03/06/2024;Bastien Leroy;BE999999990;Bélgica;;;Transferência Bancária;59,84;---;;;;;;;;49,45;0;49,45;10,39;0;59,84;6748,27;chaussée Noel Ledouble 80;
Fatura-Recibo;2024BE/247;;03/06/2024;Bastien Leroy;BE999999990;França;;;;;;PPF-2054;;Filtre a air sport Ramair Proram pour Mini Cooper S / JCW F56;1;Uni.;42,84298;42,84;42,84;0;42,84;9;0;51,84;51,84;;
Fatura-Recibo;2024BE/247;;03/06/2024;Bastien Leroy;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;59,84;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/248;;03/06/2024;Thomas Seret;BE999999990;Bélgica;;;Transferência Bancária;329,2;---;;;;;;;;272,06;0;272,06;57,14;0;329,2;7077,47;Rue ponsay n27;
Fatura-Recibo;2024BE/248;;03/06/2024;Thomas Seret;BE999999990;França;;;;;;MMRAD-MIA-90X;;Radiateur Mishimoto pour Mazda MX5 NA - Version : X-Line;1;Uni.;265,45455;265,45;265,45;0;265,45;55,75;0;321,2;321,2;;
Fatura-Recibo;2024BE/248;;03/06/2024;Thomas Seret;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;329,2;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/249;;03/06/2024;christelle buisseret;BE999999990;Bélgica;;;Transferência Bancária;290,84;---;;;;;;;;240,36;0;240,36;50,48;0;290,84;7368,31;rue des deportes, 2;
Fatura-Recibo;2024BE/249;;03/06/2024;christelle buisseret;BE999999990;França;;;;;;TS-0223-1063;;Dump valve Turbosmart Dual Port Kompact EM pour Golf 7 GTI / Golf 7 R / Leon 3 Cupra / S3 8V;1;Uni.;233,75207;233,75;233,75;0;233,75;49,09;0;282,84;282,84;;
Fatura-Recibo;2024BE/249;;03/06/2024;christelle buisseret;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;290,84;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/250;;03/06/2024;Nicolas demoiny;BE999999990;Bélgica;;;Transferência Bancária;448,92;---;;;;;;;;371,01;0;371,01;77,91;0;448,92;7817,23;Boulevard neuf 38;
